checked_at,date,slot,remaining,is_full
2026-08-07T20:09:13.940Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T20:09:13.940Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T20:58:16.166Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T20:58:16.166Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T21:46:40.373Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T21:46:40.373Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T22:21:00.682Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T22:21:00.682Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T23:42:45.144Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T23:42:45.144Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-09T18:04:32.213Z,2026-08-19,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-09T18:04:32.213Z,2026-08-19,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-09T23:40:08.455Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　2名",2,0
2026-08-09T23:40:08.455Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T00:05:36.598Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-10T00:05:36.598Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T02:30:49.588Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　7名",7,0
2026-08-10T02:30:49.588Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　3名",3,0
